shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1401-01),173.0,162.38507238452235,9.160520308330177,314.8767515420166,آچار فرانسه
(1401-02),123.0,129.98865528680267,-17.37880065397332,277.56192188059623,آچار فرانسه
(1401-03),193.0,198.21006785396872,45.520217267312695,350.7218710391104,آچار فرانسه
(1401-04),229.0,246.10157622485383,94.8268771344998,397.174236924649,آچار فرانسه
(1401-05),278.0,241.33862627298546,87.4787679908966,392.15581360105915,آچار فرانسه
(1401-06),240.0,197.1334759770264,49.59080802747403,345.892320828476,آچار فرانسه
(1401-07),163.0,163.03243584603285,15.228651455654054,310.34748157033715,آچار فرانسه
(1401-08),159.0,156.84734116704172,14.777264271512928,300.07298594963083,آچار فرانسه
(1401-09),146.0,155.31425189972677,9.691782987557763,303.379735790031,آچار فرانسه
(1401-10),135.0,151.10562267107505,10.135662119202088,293.17738738478033,آچار فرانسه
(1401-11),171.0,166.79316748066339,18.38225629761111,316.75788624945443,آچار فرانسه
(1401-12),228.0,303.2673959958083,166.36381367264315,442.5243210511206,آچار فرانسه
(1402-01),201.0,200.54677541904022,49.06823477670033,353.3994634670745,آچار فرانسه
(1402-02),199.0,176.7710481060194,25.01094451813756,330.5634499917366,آچار فرانسه
(1402-03),251.0,251.2046014514716,98.63009850980463,404.1052105283964,آچار فرانسه
(1402-04),282.0,311.01615028809744,160.12625048861312,463.6831098487513,آچار فرانسه
(1402-05),310.0,314.9864880218051,161.2891087086418,467.0579472568982,آچار فرانسه
(1402-06),286.0,289.5190319567117,136.93025790336358,440.66959265761847,آچار فرانسه
(1402-07),277.0,254.41471013172762,107.35752829742665,402.2847782118261,آچار فرانسه
(1402-08),263.0,264.73861552605285,118.75917408910644,414.6527464269071,آچار فرانسه
(1402-09),261.0,268.54526499115997,120.57808284174575,417.0611274191786,آچار فرانسه
(1402-10),301.0,277.91091562584876,129.5082812288844,425.235210486219,آچار فرانسه
(1402-11),305.0,297.4855399174035,149.56898908221268,443.6686840496752,آچار فرانسه
(1402-12),546.0,445.7018384890862,303.03432605279846,589.9524554695151,آچار فرانسه
(1403-01),288.0,352.0903936233505,199.15634035282653,504.4264761284178,آچار فرانسه
(1403-02),318.0,328.1153423655218,175.63446154783304,481.1911173329927,آچار فرانسه
(1403-03),400.0,405.62335917763073,253.4329005405979,557.1535897273208,آچار فرانسه
(1403-04),506.0,463.8892567022524,308.7805369990119,616.4005975265844,آچار فرانسه
(1403-05),437.0,469.0654665724182,316.2899161235113,619.9027582965481,آچار فرانسه
(1403-06),402.0,445.42544460978905,294.81735672486656,597.986532892205,آچار فرانسه
(1403-07),389.0,402.48190664521286,253.9668135819968,549.685355832563,آچار فرانسه
(1403-08),411.0,413.8449221368588,265.9540648812022,561.7893309841925,آچار فرانسه
(1403-09),431.0,419.12667380067273,271.5407401853958,567.1231764589642,آچار فرانسه
(1403-10),409.0,425.56873238067993,276.30068250021696,573.3910082319977,آچار فرانسه
