shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label,y_lable_frequent
(1401-01),173.0,166.07093337226758,16.413667442759753,316.4614859816514,آچار فرانسه,خدمات و تعمیرات ساختمان,6.929066627732425,156.58633255724024,143.46148598165138,yhat_diff,yhat_high_diff
(1401-02),123.0,151.09790046505643,6.908504225123007,296.5068713757823,آچار فرانسه,خدمات و تعمیرات ساختمان,28.097900465056423,116.091495774877,173.50687137578228,yhat_diff,yhat_high_diff
(1401-03),193.0,201.87946107955665,52.39687005861624,350.3219585459183,آچار فرانسه,خدمات و تعمیرات ساختمان,8.879461079556648,140.60312994138377,157.32195854591828,yhat_diff,yhat_high_diff
(1401-04),229.0,242.5639096691233,94.2585579907673,392.9937386211703,آچار فرانسه,خدمات و تعمیرات ساختمان,13.56390966912329,134.74144200923268,163.99373862117028,yhat_diff,yhat_high_diff
(1401-05),278.0,231.60839971659635,83.1247712722492,381.3534767817159,آچار فرانسه,خدمات و تعمیرات ساختمان,46.39160028340365,194.8752287277508,103.35347678171593,yhat_diff,yhat_high_diff
(1401-06),240.0,197.0778013060837,53.34143349164,342.33175052669,آچار فرانسه,خدمات و تعمیرات ساختمان,42.9221986939163,186.65856650836,102.33175052668996,yhat_diff,yhat_high_diff
(1401-07),163.0,176.27812568239764,32.49052960883781,320.0200008249815,آچار فرانسه,خدمات و تعمیرات ساختمان,13.278125682397643,130.50947039116218,157.02000082498148,yhat_diff,yhat_high_diff
(1401-08),159.0,166.3626676514973,28.02531109309438,305.2012763157833,آچار فرانسه,خدمات و تعمیرات ساختمان,7.362667651497304,130.9746889069056,146.20127631578328,yhat_diff,yhat_high_diff
(1401-09),146.0,164.63420327005562,19.0751068538016,311.0980376351495,آچار فرانسه,خدمات و تعمیرات ساختمان,18.63420327005562,126.9248931461984,165.09803763514952,yhat_diff,yhat_high_diff
(1401-10),135.0,157.35942860903458,18.15565977854784,295.35465767655586,آچار فرانسه,خدمات و تعمیرات ساختمان,22.35942860903458,116.84434022145216,160.35465767655586,yhat_diff,yhat_high_diff
