shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1401-01),173.0,166.07093337226758,18.692089824791285,317.5772530198364,آچار فرانسه
(1401-02),123.0,151.09790046505643,6.30484580358304,294.9747983022174,آچار فرانسه
(1401-03),193.0,201.87946107955662,51.124853230576306,350.10170699268946,آچار فرانسه
(1401-04),229.0,242.56390966912326,92.14780868965956,391.97211013871464,آچار فرانسه
(1401-05),278.0,231.60839971659635,83.91770844850957,380.20274837781517,آچار فرانسه
(1401-06),240.0,197.0778013060837,51.953696114833576,340.3080462775598,آچار فرانسه
(1401-07),163.0,176.27812568239764,29.69574191528557,320.21663561531267,آچار فرانسه
(1401-08),159.0,166.3626676514973,25.32459811943905,307.0123108262499,آچار فرانسه
(1401-09),146.0,164.63420327005562,19.128209615883883,309.78656516694195,آچار فرانسه
(1401-10),135.0,157.35942860903458,17.36522940844132,296.3995590917242,آچار فرانسه
(1401-11),171.0,165.53616295331676,22.383374836843757,311.6168868258041,آچار فرانسه
(1401-12),228.0,241.67894867444963,107.16119735025427,376.10697400057,آچار فرانسه
(1402-01),201.0,185.9451965144989,36.57434664074089,333.12483680872685,آچار فرانسه
(1402-02),199.0,179.36089155695328,30.45451445698283,327.8134139967249,آچار فرانسه
(1402-03),251.0,241.75848813805518,91.82679749815475,390.9308756640394,آچار فرانسه
(1402-04),282.0,301.24809934474575,151.09504749220235,449.05623871617433,آچار فرانسه
(1402-05),310.0,297.2955657145921,147.920407918906,446.3409859516522,آچار فرانسه
(1402-06),286.0,279.2411391130854,130.91673800809323,430.4105964566022,آچار فرانسه
(1402-07),277.0,259.53611006512017,115.93703227405246,404.6801292224161,آچار فرانسه
(1402-08),263.0,275.2635170642968,132.42000984672976,418.2965986567643,آچار فرانسه
(1402-09),261.0,284.0206264744989,139.722660184776,429.0171170128954,آچار فرانسه
(1402-10),301.0,297.87388819870796,154.29456013314456,441.2238084943938,آچار فرانسه
(1402-11),305.0,313.43144450673884,167.60332492043193,457.41129024208715,آچار فرانسه
(1402-12),546.0,470.0479980905226,330.39493139901714,608.6136706491302,آچار فرانسه
(1403-01),288.0,342.4188923059378,192.9523361455022,490.6084553342995,آچار فرانسه
(1403-02),318.0,312.6029920713414,161.25371203729975,461.5973704115877,آچار فرانسه
(1403-03),400.0,408.6542495874476,260.55541282448684,556.8017055636817,آچار فرانسه
(1403-04),506.0,489.2297502855894,340.28461887292065,636.584321039339,آچار فرانسه
(1403-05),437.0,469.8075750530913,320.3607913790563,619.129367605383,آچار فرانسه
(1403-06),402.0,431.1045268669366,280.53568066105083,581.4628127887398,آچار فرانسه
(1403-07),389.0,386.80794825924727,242.20123870933506,531.6910863053114,آچار فرانسه
(1403-08),411.0,401.6817595267606,258.9108299265027,546.2200754286858,آچار فرانسه
(1403-09),431.0,408.0750182911418,263.8316650432551,552.6654090331195,آچار فرانسه
(1403-10),409.0,413.98584062166856,270.5127616973784,556.1175031111858,آچار فرانسه
(1403-11),445.0,431.3357719796649,286.461390977841,575.3940854183097,آچار فرانسه
(1403-12),651.0,656.2227704297846,512.394155613458,801.0202056062309,آچار فرانسه
(1404-01),0.0,455.1045576956143,306.73997557094276,602.910927072414,آچار فرانسه
(1404-02),0.0,417.59727237076646,268.15453336727546,567.0792939622044,آچار فرانسه
(1404-03),0.0,547.910553414834,398.2838508699716,697.9335958980714,آچار فرانسه
(1404-04),0.0,642.4810701491457,492.8361164433777,791.906895190421,آچار فرانسه
(1404-05),0.0,619.2868107952693,468.8184504327228,769.4764963090768,آچار فرانسه
(1404-06),0.0,554.9341928601431,403.9579875984308,704.818271443879,آچار فرانسه
(1404-07),0.0,501.7899828686354,354.5679381662346,648.6041058697969,آچار فرانسه
(1404-08),0.0,521.8847821984298,375.0194814568282,666.9578312645871,آچار فرانسه
(1404-09),0.0,519.4290111238396,372.6066102829816,664.9095167528346,آچار فرانسه
(1404-10),0.0,528.7015435780136,381.1507901629882,675.743420145228,آچار فرانسه
(1404-11),0.0,549.1731431511647,398.1136562630499,698.723125147471,آچار فرانسه
(1404-12),0.0,808.9019983920268,654.557323454865,960.519696714647,آچار فرانسه
(1401-01),739.0,605.3800649445635,-154.3824165572751,1353.488503276668,اسباب کشی با خاور و کامیون
(1401-02),1347.0,1450.094204229588,699.6248609742632,2194.902469367694,اسباب کشی با خاور و کامیون
(1401-03),2237.0,2210.5466828890762,1458.2917191919653,2961.887643634196,اسباب کشی با خاور و کامیون
(1401-04),3103.0,2844.0468842117607,2102.6386245313665,3595.0363167672904,اسباب کشی با خاور و کامیون
(1401-05),1779.0,2106.700130808188,1352.2553300600823,2855.198122139588,اسباب کشی با خاور و کامیون
(1401-06),1831.0,1958.4981685792775,1213.2247394242236,2704.6630246046047,اسباب کشی با خاور و کامیون
(1401-07),1293.0,1382.0463833147637,650.7701636537906,2109.2149051087645,اسباب کشی با خاور و کامیون
(1401-08),1200.0,1138.5493136187185,420.9524849358764,1856.9414071311671,اسباب کشی با خاور و کامیون
(1401-09),1182.0,977.599845347583,251.86638212082144,1703.571028137241,اسباب کشی با خاور و کامیون
(1401-10),1416.0,1161.5868793669604,442.2884789314162,1893.944436963166,اسباب کشی با خاور و کامیون
(1401-11),947.0,1019.2272234532181,303.3806489426411,1743.7252997133228,اسباب کشی با خاور و کامیون
(1401-12),758.0,894.1908961986455,183.14056596307307,1597.474354713071,اسباب کشی با خاور و کامیون
(1402-01),395.0,527.4846318346789,-222.21836989962816,1271.1767472226354,اسباب کشی با خاور و کامیون
(1402-02),1066.0,1066.4874013318993,314.59211245226214,1815.227407607739,اسباب کشی با خاور و کامیون
(1402-03),1450.0,1617.1078300087038,865.413162311247,2372.433099644862,اسباب کشی با خاور و کامیون
(1402-04),2308.0,2121.3511029174856,1370.7072520558545,2883.030622296513,اسباب کشی با خاور و کامیون
(1402-05),1890.0,1812.3050556768708,1064.0932801422437,2565.497662240254,اسباب کشی با خاور و کامیون
(1402-06),1963.0,1880.5463461059533,1133.8070951670752,2631.725005267825,اسباب کشی با خاور و کامیون
(1402-07),1281.0,1259.8641451671365,534.5719413891821,1980.685891213936,اسباب کشی با خاور و کامیون
(1402-08),1199.0,1092.50089873087,359.64221337939625,1822.8155660830391,اسباب کشی با خاور و کامیون
(1402-09),976.0,971.4855484081611,238.87652963330484,1688.9879350787614,اسباب کشی با خاور و کامیون
(1402-10),968.0,1105.1543322116772,366.92627734155246,1834.51014063623,اسباب کشی با خاور و کامیون
(1402-11),1152.0,1112.1749052604616,372.8775071591154,1838.7541728744154,اسباب کشی با خاور و کامیون
(1402-12),1206.0,1160.1534985143069,449.5532057913197,1862.8168336932208,اسباب کشی با خاور و کامیون
(1403-01),595.0,776.7117845665828,26.8420329912253,1527.8969514796074,اسباب کشی با خاور و کامیون
(1403-02),1492.0,1389.1951484195936,638.7529193049769,2140.6650709837936,اسباب کشی با خاور و کامیون
(1403-03),2165.0,2149.768572659545,1400.0973573238646,2887.1147240123514,اسباب کشی با خاور و کامیون
(1403-04),2419.0,2646.911889777635,1902.0018331103133,3399.579609230138,اسباب کشی با خاور و کامیون
(1403-05),2498.0,2303.942554747741,1558.526432026881,3056.537012938508,اسباب کشی با خاور و کامیون
(1403-06),2619.0,2445.3109213679804,1703.857850389601,3193.075719640315,اسباب کشی با خاور و کامیون
(1403-07),1757.0,1804.9762536799933,1085.526056877188,2517.6598660398445,اسباب کشی با خاور و کامیون
(1403-08),1613.0,1721.2669116411234,997.7814423970315,2458.377238973586,اسباب کشی با خاور و کامیون
(1403-09),1650.0,1750.0754051533352,1035.6639974835562,2479.101395774608,اسباب کشی با خاور و کامیون
(1403-10),2050.0,2059.4115410453383,1341.2312333772677,2793.242102888047,اسباب کشی با خاور و کامیون
(1403-11),2242.0,2203.6251295783422,1476.4115149292506,2933.5105029970136,اسباب کشی با خاور و کامیون
(1403-12),2369.0,2267.033090443771,1546.2005997704098,2988.1400221709305,اسباب کشی با خاور و کامیون
(1404-01),0.0,1257.2397076428815,507.70195118480433,2000.588861394046,اسباب کشی با خاور و کامیون
(1404-02),0.0,2225.8621534065287,1464.6049606747333,2977.6318436155825,اسباب کشی با خاور و کامیون
(1404-03),0.0,3224.0204202187224,2428.7457153051096,4017.181305216337,اسباب کشی با خاور و کامیون
(1404-04),0.0,3543.333129728398,2652.5844193429452,4393.021657417531,اسباب کشی با خاور و کامیون
(1404-05),0.0,3111.2270040120457,2161.421355751642,4024.8722516587295,اسباب کشی با خاور و کامیون
(1404-06),0.0,2950.905635392044,1906.0372112562036,3933.5199408298754,اسباب کشی با خاور و کامیون
(1404-07),0.0,2288.8537222640684,1273.5334136417005,3256.6103217283485,اسباب کشی با خاور و کامیون
(1404-08),0.0,2303.9331500131443,1163.795055027441,3389.2576537097193,اسباب کشی با خاور و کامیون
(1404-09),0.0,2032.85667346728,871.2154073497081,3142.4337769294007,اسباب کشی با خاور و کامیون
(1404-10),0.0,2606.706150504845,1103.9610846153898,4032.731958916382,اسباب کشی با خاور و کامیون
(1404-11),0.0,2807.0819418209176,1076.493662720205,4465.058144468665,اسباب کشی با خاور و کامیون
(1404-12),0.0,2759.442434319722,903.7418284737722,4546.108397150631,اسباب کشی با خاور و کامیون
(1401-01),219.0,186.3180207403667,-10.340117450038884,378.9751025826259,اصلاح صورت و ابرو بانوان
(1401-02),255.0,239.1644117582929,45.09056699576355,433.10419486222384,اصلاح صورت و ابرو بانوان
(1401-03),281.0,262.9614010394162,70.00309289925283,456.36593623337814,اصلاح صورت و ابرو بانوان
(1401-04),273.0,297.68589563709565,105.90221327676605,491.15770130198035,اصلاح صورت و ابرو بانوان
(1401-05),279.0,255.18813086401096,59.170228513010414,450.6074082800386,اصلاح صورت و ابرو بانوان
(1401-06),208.0,223.88550694236403,30.406687492445823,418.0485351929346,اصلاح صورت و ابرو بانوان
(1401-07),228.0,226.95031677712743,38.591703649215276,413.5835447035419,اصلاح صورت و ابرو بانوان
(1401-08),213.0,202.4409131487922,15.306425868393731,389.33491913488024,اصلاح صورت و ابرو بانوان
(1401-09),165.0,195.12145634292978,8.816710738021253,380.92206401076527,اصلاح صورت و ابرو بانوان
(1401-10),215.0,196.24493793588107,9.082620996131404,385.14416321157796,اصلاح صورت و ابرو بانوان
(1401-11),218.0,213.3561392557442,23.539368753430722,402.13352230177304,اصلاح صورت و ابرو بانوان
(1401-12),485.0,358.83161573135897,177.38973701033458,540.4753519114144,اصلاح صورت و ابرو بانوان
(1402-01),179.0,287.98723105388814,110.0101316690198,467.24518593214674,اصلاح صورت و ابرو بانوان
(1402-02),253.0,275.0528444941631,82.11942610900115,467.954719023186,اصلاح صورت و ابرو بانوان
(1402-03),204.0,245.2971408519735,50.870370727033766,437.7009350062711,اصلاح صورت و ابرو بانوان
(1402-04),273.0,245.88553272577735,51.84527308882315,437.5585905109901,اصلاح صورت و ابرو بانوان
(1402-05),164.0,193.27685908138199,5.988922795935949,379.8231448692142,اصلاح صورت و ابرو بانوان
(1402-06),179.0,169.53185170124894,-23.900552801435065,361.81916102360236,اصلاح صورت و ابرو بانوان
(1402-07),168.0,170.12085521845276,-17.001624094112227,358.5473960709104,اصلاح صورت و ابرو بانوان
(1402-08),161.0,149.63255591184696,-36.4707567481178,337.78067618362303,اصلاح صورت و ابرو بانوان
(1402-09),168.0,142.51247125840743,-44.57063608883675,331.0015481387026,اصلاح صورت و ابرو بانوان
(1402-10),139.0,138.63261831533444,-49.036587386975015,326.480109112593,اصلاح صورت و ابرو بانوان
(1402-11),166.0,149.89955594071571,-38.05512629875868,337.3516652586552,اصلاح صورت و ابرو بانوان
(1402-12),322.0,247.313801123724,68.08297154061313,428.0598228519322,اصلاح صورت و ابرو بانوان
(1403-01),124.0,205.06751846073433,17.664951395041893,394.2032101571439,اصلاح صورت و ابرو بانوان
(1403-02),206.0,224.1480453424678,32.49857776387393,418.5787322140394,اصلاح صورت و ابرو بانوان
(1403-03),256.0,230.68725293255577,38.121087910960455,423.64373677974606,اصلاح صورت و ابرو بانوان
(1403-04),258.0,254.64234517483132,62.137172523575785,448.9457088706333,اصلاح صورت و ابرو بانوان
(1403-05),222.0,227.74272259749108,34.756562309100914,420.76064036728536,اصلاح صورت و ابرو بانوان
(1403-06),220.0,207.58116644246547,15.055363681272787,405.16218917673694,اصلاح صورت و ابرو بانوان
(1403-07),226.0,219.09456212651153,34.55333587937785,403.4264750871133,اصلاح صورت و ابرو بانوان
(1403-08),195.0,212.84387276311858,24.26950971174834,401.18106196915886,اصلاح صورت و ابرو بانوان
(1403-09),253.0,214.02327943589793,26.777472800624526,404.313332597775,اصلاح صورت و ابرو بانوان
(1403-10),195.0,224.7577687232202,37.40087744520402,411.79845569730577,اصلاح صورت و ابرو بانوان
(1403-11),240.0,259.26797751461595,72.84656297786928,445.67110790299955,اصلاح صورت و ابرو بانوان
(1403-12),465.0,482.1206717813078,295.069272103325,668.4340358286947,اصلاح صورت و ابرو بانوان
(1404-01),0.0,399.0236993214497,207.34583047738704,590.3620817720565,اصلاح صورت و ابرو بانوان
