shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1401-01),680.0,274.90942692158666,-691.4675592411678,1259.6123518702234,باربری و جابجایی
(1401-02),1226.0,1365.2447348814483,386.51949479563643,2344.683270172672,باربری و جابجایی
(1401-03),1819.0,1712.2640988311919,739.3452249393707,2688.836589247614,باربری و جابجایی
(1401-04),2472.0,2142.373132287819,1167.2859153702684,3127.2900554835505,باربری و جابجایی
(1401-05),1904.0,2324.025241240071,1357.0487320548355,3308.3044690752,باربری و جابجایی
(1401-06),2045.0,2313.497200420707,1332.463638227962,3288.859692139335,باربری و جابجایی
(1401-07),1394.0,1679.7741937413534,730.2416892321129,2622.57976892127,باربری و جابجایی
(1401-08),1239.0,1339.6615427817994,391.3476087823291,2275.3667316527544,باربری و جابجایی
(1401-09),1251.0,1090.4739963124061,134.84354972999972,2037.9154462936567,باربری و جابجایی
(1401-10),1428.0,1261.1857769922713,304.33851876548704,2212.307232603522,باربری و جابجایی
(1401-11),1347.0,1347.6982293780254,387.98448777387824,2296.687234494775,باربری و جابجایی
(1401-12),1233.0,1471.7799774395446,556.5581862878619,2379.6841698351473,باربری و جابجایی
(1402-01),744.0,349.04327369837216,-632.081054562324,1324.704021605868,باربری و جابجایی
(1402-02),1583.0,1441.5416705750777,457.8764112925933,2419.7415794815006,باربری و جابجایی
(1402-03),1918.0,1915.6413293561877,951.8890458444608,2884.91760921401,باربری و جابجایی
(1402-04),2495.0,2393.239307525453,1400.021681180233,3392.996269412371,باربری و جابجایی
(1402-05),2467.0,2680.453798351485,1698.1846144719993,3654.0789813799165,باربری و جابجایی
(1402-06),2575.0,2798.643714461966,1814.6254607785438,3777.5386343783066,باربری و جابجایی
(1402-07),2153.0,2169.257330891893,1219.4621626583871,3116.9253165346804,باربری و جابجایی
(1402-08),2072.0,1957.6487934307322,1007.2727225013375,2910.4581015330004,باربری و جابجایی
(1402-09),1778.0,1821.650861793408,884.5640991883531,2763.5333656383273,باربری و جابجایی
(1402-10),1752.0,2007.1570003273864,1050.3655911918477,2969.010351243689,باربری و جابجایی
(1402-11),2051.0,2239.723559614439,1287.8027070949602,3197.483239415963,باربری و جابجایی
(1402-12),2329.0,2430.7136120760247,1510.156335137997,3343.9110906246674,باربری و جابجایی
(1403-01),1309.0,1499.079550796958,508.9595275516492,2486.0885151933385,باربری و جابجایی
(1403-02),2756.0,2614.684528439624,1644.9537896657653,3602.1085025953375,باربری و جابجایی
(1403-03),3499.0,3275.154193125992,2289.6290581565822,4260.798243557449,باربری و جابجایی
(1403-04),4109.0,3780.1457034907166,2810.9114307787236,4765.800841123948,باربری و جابجایی
(1403-05),4376.0,4206.24743196517,3223.276717182363,5178.431150864208,باربری و جابجایی
(1403-06),4559.0,4365.654788018276,3388.461344509327,5355.372114787561,باربری و جابجایی
(1403-07),3762.0,3718.846483437602,2768.7415219426866,4667.489374535279,باربری و جابجایی
(1403-08),3412.0,3500.419809116069,2556.9171719832707,4450.560231354784,باربری و جابجایی
(1403-09),3340.0,3375.5451048113787,2432.7615161988283,4319.606418039004,باربری و جابجایی
(1403-10),3556.0,3459.043881373463,2502.62217920662,4404.312672817899,باربری و جابجایی
(1403-11),4023.0,3712.6388955989064,2762.6693047755252,4665.145189253729,باربری و جابجایی
(1403-12),4533.0,3960.168470537488,3019.4712662981974,4900.537950887194,باربری و جابجایی
(1404-01),2032.0,2928.754818475867,1943.8453011695267,3904.017079821092,باربری و جابجایی
(1404-02),3987.0,4086.3575851150954,3101.9881392935267,5066.1753260337355,باربری و جابجایی
(1404-03),4083.0,4702.363746592672,3719.026616139799,5673.716116666154,باربری و جابجایی
(1404-04),4570.0,5140.324450811645,4162.626646857,6121.75713057674,باربری و جابجایی
(1404-05),6052.0,5634.935213665616,4668.3917510209985,6623.287662099347,باربری و جابجایی
(1404-06),6188.0,5624.448909397709,4635.62808128952,6614.097485092588,باربری و جابجایی
(1404-07),5561.0,5017.239720541441,4072.0589042034435,5964.406785205837,باربری و جابجایی
(1404-08),4956.0,4858.562589502461,3914.058621081804,5800.645048812678,باربری و جابجایی
(1404-09),0.0,4589.327411087824,3643.1500612187738,5534.141752125404,باربری و جابجایی
(1404-10),0.0,4777.437941494891,3845.166628467541,5729.839851600105,باربری و جابجایی
(1404-11),0.0,5051.145524463011,4102.390277583135,5993.871208145009,باربری و جابجایی
(1404-12),0.0,5102.554504175818,4185.884945540137,6013.154741494403,باربری و جابجایی
(1405-01),0.0,4224.096276635443,3247.1418582553033,5215.311222800307,باربری و جابجایی
(1405-02),0.0,5452.823580015634,4463.491614769181,6444.2693638817045,باربری و جابجایی
