shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1401-01),680.0,-32.90597953191705,-1040.2755787408253,967.7349566804882,باربری و جابجایی
(1401-02),1226.0,1124.2299916177606,124.1135462104489,2126.1844662749095,باربری و جابجایی
(1401-03),1819.0,1533.3840304727983,552.0601927041309,2550.118347930416,باربری و جابجایی
(1401-04),2472.0,2024.4921700345851,1037.9934926847268,3026.01201450655,باربری و جابجایی
(1401-05),1904.0,2264.9573509412894,1266.0320575040107,3260.262482939226,باربری و جابجایی
(1401-06),2045.0,2305.2203098579585,1310.9750585362335,3302.9104359445887,باربری و جابجایی
(1401-07),1394.0,1696.9586118967836,727.4265323200392,2668.528639258014,باربری و جابجایی
(1401-08),1239.0,1370.1744365001161,400.5130139657251,2338.0373104160867,باربری و جابجایی
(1401-09),1251.0,1129.3548741379143,150.03219230427374,2084.5779437875804,باربری و جابجایی
(1401-10),1428.0,1308.0698430715302,330.08166883064933,2283.225927606729,باربری و جابجایی
(1401-11),1347.0,1403.7317875427827,454.5405700328307,2363.8113138536387,باربری و جابجایی
(1401-12),1233.0,1539.6382998205584,602.428629477093,2460.2722871468495,باربری و جابجایی
(1402-01),744.0,521.9745000027332,-475.78752637068453,1516.0623817124708,باربری و جابجایی
(1402-02),1583.0,1609.5234497036931,625.1792319403675,2608.5868721650418,باربری و جابجایی
(1402-03),1918.0,2074.537735908423,1082.8704735337158,3078.2314810757084,باربری و جابجایی
(1402-04),2495.0,2545.9512480302733,1537.1331667405664,3534.645138325025,باربری و جابجایی
(1402-05),2467.0,2826.641586692315,1839.5232683933061,3829.386944813153,باربری و جابجایی
(1402-06),2575.0,2931.758819333694,1936.9873995091452,3917.7690847709564,باربری و جابجایی
(1402-07),2153.0,2264.4831594982197,1295.4021526902152,3218.977418368873,باربری و جابجایی
(1402-08),2072.0,2032.816461664263,1070.497561241946,3001.858416631643,باربری و جابجایی
(1402-09),1778.0,1879.470943026094,899.1785646095176,2848.0176634130653,باربری و جابجایی
(1402-10),1752.0,2048.091303423876,1084.4505743268476,3009.409996705442,باربری و جابجایی
(1402-11),2051.0,2261.848971190601,1300.7995798740458,3236.230613357766,باربری و جابجایی
(1402-12),2329.0,2438.816659255931,1502.156235219035,3378.542696912786,باربری و جابجایی
(1403-01),1309.0,1579.3171255432305,592.96336451717,2578.314065903208,باربری و جابجایی
(1403-02),2756.0,2659.243977934278,1667.5340447023145,3666.113184252613,باربری و جابجایی
(1403-03),3499.0,3278.5452694314336,2283.245907609064,4278.6655695870195,باربری و جابجایی
(1403-04),4109.0,3741.201402527813,2744.17744696691,4739.749648876109,باربری و جابجایی
(1403-05),4376.0,4129.721054925125,3137.682601335342,5133.926866566381,باربری و جابجایی
(1403-06),4559.0,4265.604150029246,3271.379836835429,5261.730096819048,باربری و جابجایی
(1403-07),3762.0,3606.000582280824,2646.600234350118,4559.344047327064,باربری و جابجایی
(1403-08),3412.0,3392.8687690790443,2423.508313141656,4347.857076872758,باربری و جابجایی
(1403-09),3340.0,3277.377798050844,2316.1718092769165,4246.54153891302,باربری و جابجایی
(1403-10),3556.0,3369.9255505049396,2400.9734882553867,4336.492493319606,باربری و جابجایی
(1403-11),4023.0,3633.684323288479,2665.7867814701412,4588.569902552039,باربری و جابجایی
(1403-12),4533.0,3896.9093957321807,2932.30114457091,4865.3272834802265,باربری و جابجایی
(1404-01),2032.0,2963.389332574534,1970.6098616283325,3964.3982784004647,باربری و جابجایی
(1404-02),3987.0,4114.128187123001,3119.9418967359697,5104.3827642744045,باربری و جابجایی
(1404-03),4083.0,4718.599720886384,3715.1057319993183,5718.371280913569,باربری و جابجایی
