shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1401-01),1859.0,1602.7071663106094,-418.81399463049013,3587.810465042401,باربری و جابجایی
(1401-02),3183.0,3714.706521964874,1710.9429754878372,5707.837434329559,باربری و جابجایی
(1401-03),5324.0,5191.634064455131,3174.1547526913764,7181.776279797723,باربری و جابجایی
(1401-04),7677.0,6528.332391990179,4519.039920727652,8535.715489199556,باربری و جابجایی
(1401-05),5707.0,6145.582216909745,4128.731185454283,8176.365718484866,باربری و جابجایی
(1401-06),5579.0,5873.3906427512,3885.2008814625156,7884.830897227272,باربری و جابجایی
(1401-07),3525.0,4110.358062321143,2154.2411427256334,6048.984643538075,باربری و جابجایی
(1401-08),3213.0,3284.4170746597315,1341.575042821052,5225.407390684497,باربری و جابجایی
(1401-09),3072.0,2619.5263356053106,673.7758492170205,4552.436595402511,باربری و جابجایی
(1401-10),3658.0,3160.593368569952,1243.3045608597872,5131.759866595613,باربری و جابجایی
(1401-11),3347.0,3347.1881712030486,1399.8104389698128,5255.052107847171,باربری و جابجایی
(1401-12),3189.0,3932.460564427897,2060.842175705774,5821.365552333113,باربری و جابجایی
(1402-01),1751.0,1228.8583066013985,-794.9616907644192,3227.4963007037677,باربری و جابجایی
(1402-02),3515.0,3155.94429064836,1120.6591401120845,5178.930398164742,باربری و جابجایی
(1402-03),4303.0,4753.650744497792,2753.1692450746677,6761.518124832446,باربری و جابجایی
(1402-04),5778.0,6089.937893634648,4094.830362235493,8102.466444579529,باربری و جابجایی
(1402-05),5773.0,5872.7585514008815,3876.0398080150453,7882.126457699001,باربری و جابجایی
(1402-06),5575.0,5867.280798094687,3835.0623775279796,7865.017014357949,باربری و جابجایی
(1402-07),4166.0,4165.4298061546315,2228.0021770930075,6114.018522944012,باربری و جابجایی
(1402-08),3934.0,3711.241529058106,1780.5781008220797,5674.110083645419,باربری و جابجایی
(1402-09),3326.0,3383.196913262321,1439.1457020109906,5341.197040490438,باربری و جابجایی
(1402-10),3405.0,4017.4973749335936,2078.2104778998746,5927.600246330663,باربری و جابجایی
(1402-11),4458.0,4590.750582126778,2656.6190214183644,6546.968514089398,باربری و جابجایی
(1402-12),5569.0,5398.511902588815,3537.6945354290942,7283.10237258768,باربری و جابجایی
(1403-01),3155.0,3154.4331922343226,1127.7672987199048,5169.087314585011,باربری و جابجایی
(1403-02),5699.0,5171.417127566345,3159.66304823138,7157.075928447688,باربری و جابجایی
(1403-03),7675.0,7245.188103147426,5238.514000258483,9241.99863668035,باربری و جابجایی
(1403-04),8877.0,8660.788978200619,6654.885108534225,10683.6673743863,باربری و جابجایی
(1403-05),8656.0,8745.193403074689,6748.105063827023,10751.086097632364,باربری و جابجایی
(1403-06),9077.0,8794.869695129564,6807.051832051573,10794.45447576313,باربری و جابجایی
(1403-07),7086.0,7072.447701491401,5137.569664713069,9012.295967503793,باربری و جابجایی
(1403-08),6468.0,6627.722579616015,4649.688230738411,8564.036780434533,باربری و جابجایی
(1403-09),6098.0,6359.747547574295,4411.307381834321,8287.678158779407,باربری و جابجایی
(1403-10),6952.0,6807.559239867657,4876.7370213507065,8758.714487658619,باربری و جابجایی
(1403-11),7878.0,7498.093790986107,5561.134519657328,9466.233361771929,باربری و جابجایی
(1403-12),9859.0,8502.708971052802,6543.799319108009,10459.339286227707,باربری و جابجایی
(1404-01),4329.0,6042.982428740873,4037.2121410197246,8075.93921150683,باربری و جابجایی
(1404-02),7817.0,8266.4248820311,6255.643282279066,10276.457155389655,باربری و جابجایی
(1404-03),9884.0,10332.799588499254,8349.167738347078,12337.039840246543,باربری و جابجایی
(1404-04),10852.0,11603.76779242622,9568.253759315416,13598.15967310672,باربری و جابجایی
(1404-05),12518.0,11903.617581569026,9876.164997965987,13885.561969028666,باربری و جابجایی
(1404-06),12351.0,11595.791073595667,9617.88007924934,13604.639163646005,باربری و جابجایی
(1404-07),10493.0,9977.74039667545,8025.561399352504,11917.716122410278,باربری و جابجایی
(1404-08),9876.0,9671.239203124158,7727.371635536822,11602.985915776686,باربری و جابجایی
(1404-09),0.0,9066.622024545959,7123.015488451107,11016.077093946411,باربری و جابجایی
(1404-10),0.0,9759.005294967958,7806.680182793223,11705.967997545398,باربری و جابجایی
(1404-11),0.0,10497.07492962423,8568.16598354413,12452.985013886046,باربری و جابجایی
(1404-12),0.0,11075.954024448214,9179.896785197383,12963.311201303637,باربری و جابجایی
(1405-01),0.0,8942.919665633282,6946.540086009832,10944.04351780226,باربری و جابجایی
(1405-02),0.0,11323.106741153315,9299.708500750667,13342.435420631682,باربری و جابجایی
(1405-03),0.0,13233.291451883746,11207.27985342663,15236.834847700566,باربری و جابجایی
(1405-04),0.0,14614.017974692346,12609.682005975657,16651.38652684163,باربری و جابجایی
(1405-05),0.0,14875.012152500656,12829.73628795433,16913.7202493265,باربری و جابجایی
(1405-06),0.0,14613.247809506247,12598.271288497066,16647.129866164443,باربری و جابجایی
(1401-01),412.0,440.4347829944907,207.6832983379333,670.5613192553599,باغبانی و فضای سبز
(1401-02),367.0,372.3747025179996,143.13859418753768,600.7519278806686,باغبانی و فضای سبز
(1401-03),299.0,287.64320083149397,56.563500625068805,521.0561759825491,باغبانی و فضای سبز
