shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1401-01),1859.0,1283.3970559374948,-745.1321632848712,3295.5742742743046,باربری و جابجایی
(1401-02),3183.0,3429.396899682413,1400.3664494996788,5420.0829319112,باربری و جابجایی
(1401-03),5324.0,4935.638874778485,2914.4787936959615,6978.165761229381,باربری و جابجایی
(1401-04),7677.0,6309.400584825217,4290.679019764833,8329.431359856693,باربری و جابجایی
(1401-05),5707.0,5970.369350478964,3951.224561294455,7995.3255861273565,باربری و جابجایی
(1401-06),5579.0,5747.862469096047,3730.520886630325,7739.957622667565,باربری و جابجایی
(1401-07),3525.0,4008.4760100820868,2072.923633679007,5960.617392695786,باربری و جابجایی
(1401-08),3213.0,3228.5369239212278,1277.5719282091568,5157.897642383912,باربری و جابجایی
(1401-09),3072.0,2607.072936146548,665.447892004482,4552.13021820676,باربری و جابجایی
(1401-10),3658.0,3186.5360244059857,1226.1520576220812,5160.182985837455,باربری و جابجایی
(1401-11),3347.0,3409.4230881084395,1480.7314949038882,5368.4819329917445,باربری و جابجایی
(1401-12),3189.0,4030.2096401923986,2145.824852018913,5913.598576475545,باربری و جابجایی
(1402-01),1751.0,1460.581289200472,-551.5335931047355,3466.6053591424097,باربری و جابجایی
(1402-02),3515.0,3422.4683336909047,1388.593098953131,5445.181626217524,باربری و جابجایی
(1402-03),4303.0,5050.782408183406,3018.3827780002325,7061.328910943493,باربری و جابجایی
(1402-04),5778.0,6392.125350920618,4338.185914116787,8399.357189467188,باربری و جابجایی
(1402-05),5773.0,6154.189328564387,4152.738208138316,8166.461853949641,باربری و جابجایی
(1402-06),5575.0,6104.047108692541,4096.545039716288,8117.198292955861,باربری و جابجایی
(1402-07),4166.0,4309.016408554133,2348.5458772167044,6262.36815424029,باربری و جابجایی
(1402-08),3934.0,3810.4513860538336,1852.9418343644447,5769.156753010684,باربری و جابجایی
(1402-09),3326.0,3448.7599561148845,1488.936063786365,5393.378405901902,باربری و جابجایی
(1402-10),3405.0,4056.6806611008496,2095.0893402305805,6001.954850490289,باربری و جابجایی
(1402-11),4458.0,4608.356513013417,2671.7481123410585,6567.652792024304,باربری و جابجایی
(1402-12),5569.0,5401.136006566694,3497.627347799724,7273.2170364052145,باربری و جابجایی
(1403-01),3155.0,3230.568395855334,1251.5980602656095,5233.667314177688,باربری و جابجایی
(1403-02),5699.0,5226.903460054531,3178.6944724098307,7233.922967304977,باربری و جابجایی
(1403-03),7675.0,7274.942542346568,5264.922248025226,9283.764030646114,باربری و جابجایی
(1403-04),8877.0,8672.13056940414,6669.392906711482,10677.575588675174,باربری و جابجایی
