shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1401-01),173.0,162.38507238452237,8.474670374471774,314.63206267187434,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-02),123.0,129.98865528680267,-16.25403377289607,276.86361970221174,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-03),193.0,198.21006785396872,45.62578720759143,351.18955561922473,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-04),229.0,246.10157622485383,93.74155119652644,397.4135745615144,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-05),278.0,241.33862627298544,88.24694334561805,394.2082501748531,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-06),240.0,197.1334759770264,51.06866917768807,343.9678230662818,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-07),163.0,163.03243584603285,17.391162324217394,310.1888580783876,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-08),159.0,156.84734116704172,13.819027331774898,298.7298176090409,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-09),146.0,155.31425189972677,7.184744642004209,302.6870765964525,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-10),135.0,151.10562267107505,9.167381924889508,292.22103344344134,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-11),171.0,166.7931674806634,19.34235485121757,314.2162305872025,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-12),228.0,303.2673959958083,166.83852232176577,442.15154428373336,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-01),201.0,200.54677541904024,47.327017739726,353.8333767171854,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-02),199.0,176.7710481060194,23.830731475744752,328.6994852698975,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-03),251.0,251.2046014514716,100.22113080636971,402.8480212580076,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-04),282.0,311.01615028809744,156.62724140877953,461.2135719959528,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-05),310.0,314.9864880218051,163.80455701296984,468.3230857246946,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-06),286.0,289.5190319567117,137.34705517708247,442.0734432381349,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-07),277.0,254.4147101317276,108.11802325100432,402.0098228793288,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-08),263.0,264.73861552605285,118.2011342793524,411.7293414425163,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-09),261.0,268.54526499116,120.71588052359058,417.4076998291917,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-10),301.0,277.9109156258488,130.95050787850008,425.3000634795336,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-11),305.0,297.4855399174035,149.93022607869244,444.62272606965394,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-12),546.0,445.7018384890862,303.8537331107829,590.6307926699197,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-01),288.0,352.0903936233505,200.13177725377764,503.1737220781242,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-02),318.0,328.1153423655218,175.30441397570078,482.2451960676953,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-03),400.0,405.62335917763073,254.7687481269712,556.5677824213034,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-04),506.0,463.8892567022524,311.3021966181201,614.6563639380054,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-05),437.0,469.0654665724182,316.24434400091826,620.5986155272298,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-06),402.0,445.42544460978905,293.0349510672174,597.9157586726292,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-07),389.0,402.48190664521286,257.2632066994841,549.648081180105,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-08),411.0,413.8449221368588,266.7164884625319,562.4538853885119,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-09),431.0,419.12667380067273,272.3343716588747,567.6652030303757,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-10),409.0,425.56873238067993,277.4551986148238,571.6337998636515,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-11),445.0,446.9406921089098,299.98942387997573,591.9954585270467,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-12),651.0,608.7895289012828,460.5393991572013,754.7360125652011,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-01),0.0,503.86653245317126,351.79971803765187,658.1441325311916,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-02),0.0,481.87356102983887,329.51589967594447,634.9995550642649,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-03),0.0,563.555528483334,410.5151325617426,715.191683045224,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-04),0.0,616.7912321755122,463.8577371816176,769.8803969564111,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-05),0.0,625.637273542976,475.7310699437296,777.0982467282021,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-06),0.0,596.0244246559988,442.6091559747823,748.724737414267,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-07),0.0,552.0732738959625,405.6343301231192,700.545454007149,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-08),0.0,565.3396468483417,417.7973874172383,714.1729905019705,آچار فرانسه,خدمات و تعمیرات ساختمان
