shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1401-01),173.0,114.90411563490854,-66.75906155319687,300.3253464900852,آچار فرانسه
(1401-02),123.0,149.19234576366927,-26.017508103431958,327.1160727228891,آچار فرانسه
(1401-03),193.0,188.70765653616752,1.7274741217985758,370.84958599031506,آچار فرانسه
(1401-04),229.0,221.99691661519122,39.90523995739386,401.6001080786907,آچار فرانسه
(1401-05),278.0,275.7909678704748,96.20917218665397,456.4456901433177,آچار فرانسه
(1401-06),240.0,216.43474956970348,40.1602080635263,392.4281224415615,آچار فرانسه
(1401-07),163.0,166.24119837757596,-9.991501406705499,344.0634450216266,آچار فرانسه
(1401-08),159.0,163.60264968275388,-8.778647041138786,333.77640709794497,آچار فرانسه
(1401-09),146.0,161.16158896038294,-16.618376533046682,338.6504958803817,آچار فرانسه
(1401-10),135.0,156.17494858826296,-13.166524477521973,326.6475583811969,آچار فرانسه
(1401-11),171.0,169.67593866940834,-9.15491755989505,349.5524216337994,آچار فرانسه
(1401-12),228.0,300.73538689642413,134.75705435928646,465.629859466294,آچار فرانسه
(1402-01),201.0,164.00634496538035,-16.99435667220713,342.6725248695256,آچار فرانسه
(1402-02),199.0,204.92947121781083,21.326740737893836,385.95708563297785,آچار فرانسه
(1402-03),251.0,250.8414629308871,68.11786769861986,433.48773835613565,آچار فرانسه
(1402-04),282.0,291.65234929559443,111.44066112986324,473.17930621401933,آچار فرانسه
(1402-05),310.0,352.2188207342053,169.60031147084112,536.1303722143905,آچار فرانسه
(1402-06),286.0,309.9073385777121,126.03523656581685,493.68937075716156,آچار فرانسه
(1402-07),277.0,256.11380571342124,77.5103718611078,434.2115931022602,آچار فرانسه
(1402-08),263.0,268.9389701466555,92.13212219258706,443.9618526865001,آچار فرانسه
(1402-09),261.0,270.1044305964241,94.64330186613493,446.3778907802078,آچار فرانسه
(1402-10),301.0,276.65930132857653,101.44204008573892,454.8592326691291,آچار فرانسه
(1402-11),305.0,291.0102874049116,114.08475339826757,466.12429613796394,آچار فرانسه
(1402-12),546.0,432.7514544690588,259.6603985125175,603.8599873741019,آچار فرانسه
(1403-01),288.0,301.45585662986923,119.58509702563347,484.085951761948,آچار فرانسه
(1403-02),318.0,340.027258257516,155.76348734316022,526.4230119782112,آچار فرانسه
(1403-03),400.0,391.91000856580763,205.46453169952858,574.5100862294573,آچار فرانسه
(1403-04),506.0,428.9336224606471,245.1472595872291,612.6822844190776,آچار فرانسه
(1403-05),437.0,493.29348851473014,311.90367869390025,675.1414676950351,آچار فرانسه
(1403-06),402.0,452.5472450231208,269.3787188958452,633.5617418339859,آچار فرانسه
(1403-07),389.0,391.22176806329037,215.75783629125462,565.7804888637247,آچار فرانسه
(1403-08),411.0,407.0853184361763,227.43935320841524,585.3238871163942,آچار فرانسه
(1403-09),431.0,413.0837160083032,235.91879638863438,589.3017705779956,آچار فرانسه
(1403-10),409.0,422.23822303330365,242.37231617225956,598.2512787889941,آچار فرانسه
(1403-11),445.0,449.9485440195284,272.68324076436846,628.4756677124446,آچار فرانسه
(1403-12),651.0,618.6683209150722,441.40702770162505,794.3586315955012,آچار فرانسه
(1404-01),357.0,499.33814654683204,316.83569178683103,678.6281691054594,آچار فرانسه
(1404-02),600.0,562.5661075604984,380.85721471087396,746.9602167378861,آچار فرانسه
(1404-03),604.0,635.9030345524558,454.73237334334357,819.5818684124193,آچار فرانسه
(1404-04),615.0,693.3700095390358,513.8161659240386,877.1700396863562,آچار فرانسه
(1404-05),898.0,781.6853048708191,598.9411603402513,962.949111816814,آچار فرانسه
(1404-06),801.0,755.5123728274879,574.7276343712351,939.798239177241,آچار فرانسه
(1404-07),699.0,709.2403285889608,534.978972807341,886.5780090970608,آچار فرانسه
(1404-08),764.0,746.6283278450381,570.1161097093776,921.6100430971929,آچار فرانسه
(1404-09),0.0,764.278952258879,587.9216420666024,938.5348885834142,آچار فرانسه
(1404-10),0.0,788.8838672035754,613.8939644398566,966.0544395811424,آچار فرانسه
(1404-11),0.0,828.4131731917038,651.331283414574,1005.9918946472721,آچار فرانسه
(1404-12),0.0,971.1293673368758,799.8671420825393,1143.1396063931018,آچار فرانسه
(1405-01),0.0,892.0824171462523,706.6735974377605,1073.9933368448026,آچار فرانسه
(1405-02),0.0,957.6576485100336,774.0765967721003,1140.3212042890614,آچار فرانسه
(1405-03),0.0,1028.9116760306683,846.977173953427,1213.4907117351797,آچار فرانسه
(1405-04),0.0,1086.9113636958366,905.3602786043814,1270.649384806963,آچار فرانسه
(1405-05),0.0,1177.2652474318606,992.137422223354,1363.3763904720377,آچار فرانسه
(1405-06),0.0,1148.9286704498152,966.3778360338819,1332.7041487590784,آچار فرانسه
