shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1401-01),173.0,114.90411563490854,-67.238594413648,298.87989265847136,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-02),123.0,149.19234576366927,-27.13936838441121,323.31615504909416,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-03),193.0,188.70765653616752,7.545206916469829,369.699798035293,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-04),229.0,221.9969166151912,39.84126563312199,403.2907076114015,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-05),278.0,275.7909678704748,91.87234149017829,455.873284494224,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-06),240.0,216.43474956970348,37.05386013197161,393.1563116782828,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-07),163.0,166.24119837757596,-9.803611735933671,344.95841048968344,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-08),159.0,163.60264968275388,-8.983322388616747,336.5005565604643,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-09),146.0,161.16158896038294,-16.72329623974785,341.0233625726969,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-10),135.0,156.17494858826296,-15.54418403457674,325.2802924995402,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-11),171.0,169.67593866940834,-5.393694729865098,345.44513050852896,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-12),228.0,300.73538689642413,133.8786776587868,464.4997501523483,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-01),201.0,164.00634496538035,-18.086076123078712,344.5859380704312,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-02),199.0,204.92947121781083,21.21604934347481,388.0696821636406,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-03),251.0,250.8414629308871,71.31784464847786,433.0019698654294,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-04),282.0,291.65234929559443,106.98942769990762,477.0562546033502,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-05),310.0,352.2188207342053,170.22881340125707,534.6313454397138,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-06),286.0,309.9073385777121,126.23354058439315,492.46922539434473,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-07),277.0,256.11380571342124,80.66522302818846,430.938411137468,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-08),263.0,268.9389701466555,93.55764120870305,445.20741416879287,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-09),261.0,270.1044305964241,94.25831985708952,447.4203471643372,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-10),301.0,276.65930132857653,96.61758736634276,454.14103635847744,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-11),305.0,291.0102874049116,113.80810807990632,466.73212245338175,آچار فرانسه,خدمات و تعمیرات ساختمان
(1402-12),546.0,432.7514544690588,263.07436866995386,603.5399230310314,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-01),288.0,301.45585662986923,120.11588948518651,483.8296845049477,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-02),318.0,340.027258257516,158.35043271815206,521.6995512403151,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-03),400.0,391.9100085658076,207.9283819103505,570.9672902931054,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-04),506.0,428.9336224606471,246.5194230256605,610.552640754306,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-05),437.0,493.2934885147301,312.52956119943593,675.7407253602125,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-06),402.0,452.5472450231208,269.3457540579149,635.0998827065873,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-07),389.0,391.2217680632904,214.0864544192276,568.1112474593895,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-08),411.0,407.0853184361763,232.3152973035777,585.6900927115973,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-09),431.0,413.0837160083032,238.59727998340685,586.9426223422007,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-10),409.0,422.23822303330365,247.61872538640472,598.5219332606611,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-11),445.0,449.9485440195284,274.315643315503,627.5508219315952,آچار فرانسه,خدمات و تعمیرات ساختمان
(1403-12),651.0,618.6683209150722,442.5910426292682,795.521927755806,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-01),357.0,499.338146546832,316.1522963107112,682.1258913196086,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-02),600.0,562.5661075604984,379.7099732640965,745.0973576629426,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-03),604.0,635.9030345524558,453.1538784741629,816.8702219934917,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-04),615.0,693.3700095390358,513.6151663615403,877.0956373571937,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-05),898.0,781.6853048708191,600.7789798298571,964.2836324574664,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-06),801.0,755.5123728274879,573.1045792908068,938.1346176320473,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-07),699.0,709.2403285889608,534.0951789945099,887.0388854822651,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-08),764.0,746.6283278450381,571.5076130168927,923.61805753988,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-09),0.0,764.278952258879,589.7698482515638,941.4669540306352,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-10),0.0,788.8838672035754,612.364536842607,965.402192194518,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-11),0.0,828.4131731917038,651.2495940991314,1003.211008412378,آچار فرانسه,خدمات و تعمیرات ساختمان
(1404-12),0.0,971.1293673368758,800.0440107400183,1143.1359234714853,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-01),0.0,892.0824171462523,710.7745890158108,1078.1986937280055,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-02),0.0,957.6576485100336,773.4066106025547,1141.131035144458,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-03),0.0,1028.9116760306683,846.3793952243847,1212.1811927732658,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-04),0.0,1086.9113636958366,905.6281876372364,1270.4234285983882,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-05),0.0,1177.2652474318606,993.179615841292,1360.88216300869,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-06),0.0,1148.9286704498152,966.5506545002304,1332.3940822091404,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-07),0.0,1091.7282133724757,913.1241658456048,1271.2017691781705,آچار فرانسه,خدمات و تعمیرات ساختمان
(1405-08),0.0,1127.99549413048,948.372953050886,1308.422020180983,آچار فرانسه,خدمات و تعمیرات ساختمان
(1401-01),739.0,637.5422084044118,-271.08830033405053,1542.2788987383312,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-02),1347.0,1503.5820271655414,588.1215902114895,2411.008196653676,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-03),2237.0,2082.4685049343225,1173.7853906361072,2992.0591192771462,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-04),3103.0,2527.8416550556976,1641.6899358451583,3431.4259675977846,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-05),1779.0,2032.678360806574,1130.9329099090291,2935.743093300087,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-06),1831.0,2063.077729694737,1156.546356200246,2962.442892340548,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-07),1293.0,1424.5752512319204,550.0046410541055,2299.3553403497167,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-08),1200.0,1163.2737530383265,283.58960054608605,2042.2350477076668,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-09),1182.0,1026.8233090405056,161.18115124538647,1903.5034891569355,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-10),1416.0,1266.2391937823445,401.6618791266451,2136.328218602752,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-11),947.0,1114.594486260168,255.9701273622383,1995.1280148908768,اسباب کشی با خاور و کامیون,باربری و جابجایی
(1401-12),758.0,1011.92818435127,159.03168422730323,1864.2225492672017,اسباب کشی با خاور و کامیون,باربری و جابجایی
