service,y_lable_frequent,y_lable_frequent_count
ICU در منزل,yhat_low_diff,3
new service-test 2,yhat_low_diff,4
آرایش صورت بانوان در خانه,yhat_diff,5
آزمایش و نمونه گیری,yhat_diff,5
آشپزی در محل,yhat_diff,7
آمادگی برای کنکور,yhat_low_diff,7
آموزش ابتدایی تا متوسطه,yhat_low_diff,6
آموزش دروس‌ دانشگاهی,yhat_low_diff,7
آموزش زبان‌ های خارجی,yhat_low_diff,6
آچار فرانسه,yhat_high_diff,5
اتصال به شبکه فاضلاب شهری,yhat_low_diff,7
اجاره انبار و سوله,yhat_low_diff,7
احیای رنگ خودرو,yhat_low_diff,7
ارزیابی وضعیت هورمونی,yhat_high_diff,3
ارسال هدیه,yhat_low_diff,7
اسباب کشی با خاور و کامیون,yhat_diff,4
اسباب کشی با خاور و کامیون (برون شهری),yhat_low_diff,7
اسباب کشی شرکت‌ها و سازمان‌ها,yhat_low_diff,7
اسباب‌ کشی و حمل بار بین شهری,yhat_diff,3
استخدام خدمتکار,yhat_diff,7
اصلاح صورت و ابرو بانوان,yhat_low_diff,7
امداد خودرو,yhat_high_diff,5
امداد درمان (فوری),yhat_low_diff,7
انواع دیوارپوش,yhat_low_diff,7
اپیلاسیون بانوان در خانه,yhat_diff,4
اکستنشن مو بانوان در خانه,yhat_low_diff,6
باتری به باتری,yhat_diff,7
بازکردن در خودرو (فوری),yhat_diff,4
بافت مو بانوان در خانه,yhat_diff,4
براشینگ مو بانوان,yhat_diff,6
برق و باتری خودرو,yhat_diff,5
برنامه ورزشی و تغذیه,yhat_low_diff,7
برچسب شیشه‌ای,yhat_low_diff,6
بسته چکاپ تیروئید,yhat_low_diff,6
بسته چکاپ کبدی,yhat_low_diff,6
بنایی,yhat_high_diff,4
بهبود آلاینده‌های موتورخانه با دستگاه آنالیز,yhat_diff,6
تایپ متون,yhat_low_diff,7
تخریب,yhat_high_diff,5
تخلیه چاه و لوله بازکنی,yhat_diff,3
تخمین قیمت بازسازی,yhat_high_diff,7
ترجمه متون، فیلم و صوت و همزمان,yhat_low_diff,7
ترمیم و بازسازی ظروف آشپزخانه,yhat_diff,4
تزریق سرم در منزل,yhat_high_diff,4
تزریقات در منزل,yhat_diff,4
تست دیاگ و ریمپ ECU خودرو,yhat_diff,6
تست کرونا,yhat_diff,1
تشخیص و ترمیم ترکیدگی لوله,yhat_low_diff,6
تشخیص و کنترل بیماری و آفت,yhat_low_diff,4
تشریفات مجالس,yhat_low_diff,7
تعمیر آبمیوه گیری و مخلوط کن,yhat_diff,4
تعمیر اتو,yhat_diff,4
تعمیر بخارشور,yhat_low_diff,4
تعمیر بخارپز و پلوپز,yhat_low_diff,7
تعمیر جاروبرقی,yhat_diff,7
تعمیر دستگاه بخور,yhat_low_diff,7
تعمیر دستگاه کارتخوان و بارکدخوان,yhat_low_diff,7
تعمیر رادیو و ضبط‌‍‌ صوت,yhat_low_diff,6
تعمیر ساندبار و اسپیکر,yhat_diff,6
تعمیر سرخ کن,yhat_low_diff,5
تعمیر سشوار,yhat_diff,4
تعمیر سینمای خانگی,yhat_low_diff,4
تعمیر شوفاژ برقی,yhat_low_diff,7
تعمیر صندلی ماساژور,yhat_low_diff,6
تعمیر غذاساز و خردکن,yhat_diff,4
تعمیر ماشین‌های اداری,yhat_diff,5
تعمیر موتورسیکلت,yhat_high_diff,4
تعمیر و تعویض چراغ خودرو,yhat_high_diff,4
تعمیر و سرویس آبگرمکن,yhat_low_diff,7
تعمیر و سرویس آسانسور,yhat_low_diff,6
تعمیر و سرویس اگزاست‌فن و سانتریفیوژ,yhat_low_diff,7
تعمیر و سرویس فن کویل,yhat_diff,5
تعمیر و سرویس پله برقی,yhat_low_diff,7
تعمیر و سرویس پکیج,yhat_low_diff,7
