service,yhat_diff,yhat_high_diff,yhat_low_diff
ICU در منزل,0,0,3
new service-test 16,1,6,0
new service-test 2,0,6,1
آرایش صورت بانوان در خانه,6,0,1
آزمایش و نمونه گیری,7,0,0
آسانسور (فوری),4,0,0
آشپزی در محل,7,0,0
آمادگی برای کنکور,1,0,6
آموزش ابتدایی تا متوسطه,6,0,1
آموزش دروس‌ دانشگاهی,2,1,3
آموزش زبان‌ های خارجی,3,0,2
آپشن,4,0,0
آچار فرانسه,6,1,0
اتصال به شبکه فاضلاب شهری,6,0,1
اجاره انبار و سوله,6,0,1
احیای رنگ خودرو,7,0,0
ارزیابی وضعیت هورمونی,0,3,3
ارسال هدیه,5,0,2
اسباب کشی با خاور و کامیون,7,0,0
اسباب کشی با خاور و کامیون (برون شهری),0,0,7
اسباب کشی شرکت‌ها و سازمان‌ها,7,0,0
اسباب‌ کشی و حمل بار بین شهری,5,1,1
استخدام خدمتکار,5,0,2
اصلاح صورت و ابرو بانوان,7,0,0
امداد خودرو,5,1,1
امداد درمان (فوری),7,0,0
انواع دیوارپوش,0,0,7
اپیلاسیون بانوان در خانه,7,0,0
اکستنشن مو بانوان در خانه,7,0,0
باتری به باتری,7,0,0
بازکردن در خودرو (فوری),7,0,0
بافت مو بانوان در خانه,6,0,1
براشینگ مو بانوان,6,0,1
برق و باتری خودرو,6,0,1
برنامه ورزشی و تغذیه,4,0,3
برچسب شیشه‌ای,0,0,6
بسته چکاپ تیروئید,0,0,6
بسته چکاپ کبدی,0,0,6
بنایی,5,1,1
بهبود آلاینده‌های موتورخانه با دستگاه آنالیز,6,1,0
بیمه عمر و پس‌انداز,0,0,2
تایپ متون,1,0,3
تخریب,7,0,0
تخلیه چاه و لوله بازکنی,6,0,1
تخمین قیمت بازسازی,0,7,0
ترجمه متون، فیلم و صوت و همزمان,0,1,6
ترمیم و بازسازی ظروف آشپزخانه,7,0,0
تزریق سرم در منزل,2,4,1
تزریقات در منزل,5,2,0
تست دیاگ و ریمپ ECU خودرو,7,0,0
تست کرونا,1,0,0
تشخیص و ترمیم ترکیدگی لوله,6,0,1
تشخیص و کنترل بیماری و آفت,7,0,0
تشریفات مجالس,7,0,0
تعمیر آبمیوه گیری و مخلوط کن,7,0,0
تعمیر اتو,7,0,0
تعمیر بخارشور,7,0,0
تعمیر بخارپز و پلوپز,7,0,0
تعمیر جاروبرقی,7,0,0
تعمیر دستگاه بخور,7,0,0
تعمیر دستگاه کارتخوان و بارکدخوان,0,0,7
تعمیر رادیو و ضبط‌‍‌ صوت,7,0,0
تعمیر ساندبار و اسپیکر,7,0,0
تعمیر سرخ کن,7,0,0
تعمیر سشوار,7,0,0
تعمیر سینمای خانگی,7,0,0
تعمیر شوفاژ برقی,4,0,0
تعمیر صندلی ماساژور,6,1,0
تعمیر غذاساز و خردکن,7,0,0
تعمیر ماشین‌های اداری,6,0,1
تعمیر موتورسیکلت,7,0,0
تعمیر و تعویض چراغ خودرو,7,0,0
تعمیر و سرویس آبگرمکن,4,1,2
تعمیر و سرویس آسانسور,7,0,0
تعمیر و سرویس اگزاست‌فن و سانتریفیوژ,7,0,0
تعمیر و سرویس فن کویل,6,1,0
تعمیر و سرویس پله برقی,6,0,1
تعمیر و سرویس پکیج,5,1,1
تعمیر و سرویس کولر آبی,5,1,1
تعمیر و نگهداری استخر,7,0,0
تعمیر و نگهداری موتورخانه,6,1,0
تعمیر پنکه,5,1,1
تعمیر چای ساز و قهوه ساز,7,0,0
تعمیر چرخ خیاطی,7,0,0
تعمیر چرخ گوشت,6,1,0
تعمیر کامپیوتر و لپ تاپ,7,0,0
تعمیر کنسول بازی,7,0,0
تعمیر کولر گازی و داکت اسپلیت,4,2,1
تعمیر کیف و کفش,7,0,0
تعمیرات تخصصی تلویزیون,7,0,0
تعمیرات ریش تراش و اپیلیدی,7,0,0
تعمیرات لباس,7,0,0
تعمیرات مبلمان,5,0,2
تعمیرات مبلمان اداری,7,0,0
تعمیرات نما و نماشویی,5,1,1
تعویض باتری خودرو,6,0,1
تعویض روغن خودرو,5,1,1
تعویض شمع و وایر خودرو,7,0,0
تعویض شیشه خودرو,7,0,0
تعویض لاستیک,6,0,1
تعویض لنت خودرو,7,0,0
جابه‌جایی گاوصندوق,7,0,0
جوشکاری و آهنگری، درب و پنجره آهنی,5,1,1
جک و ریموت درب پارکینگ (فوری),7,0,0
حرکات اصلاحی,5,0,2
حمل بار با وانت و نیسان,6,0,1
حمل خودرو,7,0,0
حمل نخاله و ضایعات ساختمانی,7,0,0
خدمات اسپیکر,7,0,0
خدمات باتری,7,0,0
خدمات برق صنعتی و سه فاز,7,0,0
خدمات تاچ و ال سی ‌دی,7,0,0
خدمات تربیتی حیوانات خانگی,1,0,6
